"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data PublicaçãoDOU";"Data Abertura";"Valor Licitação"
"000102013";"54220000057201376";"Objeto: Contratação de empresa para recolhimento de RRT";"Inexigibilidade de Licitação";"Publicado";"20000";"PRESIDENCIA DA REPUBLICA";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373072";"SUPERINT.ESTADUAL DO R.G.DO SUL-INCRA/SR-11";"PORTO ALEGRE";"14/01/2013";"";"1000,00"
"000012013";"23176000006201311";"Objeto: Contratação emergencial por 90 dias:  -Prestação de serviço de reprografia com locação de máquna fotocopiadora para o campus Piripiri, na cidade de Piripiri, com assistência técnica total, peças, estabilizadores e 01(um) operador para máquina fotocopiadora. Exceto formecimento de suprimentos (papel, toner, cilindro, grampo e demais consumíveis a serem declarados pela licitante), que ficarão por conta da contratante. Estimativa de 22.000 (vinte e duas mil) cópias por mês e utili";"Dispensa de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26431";"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI";"158360";"INST. FED. PIAUÍ/CAMPUS PIRIPIRI";"PIRIPIRI";"21/01/2013";"";"8580,00"
"000062013";"084/2013";"Objeto: Aquisição de cateter .";"Dispensa de Licitação";"Encerrado";"26000";"MINISTERIO DA EDUCACAO";"26240";"UNIVERSIDADE FEDERAL DA PARAIBA";"153071";"HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB";"JOAO PESSOA";"01/01/1900";"11/01/2013";"3216,00"
"000112013";"11/2013";"Objeto: Contratação de empresa especializada na recarga de extintores do sistema de combate a incêndio.";"Dispensa de Licitação";"Encerrado";"26000";"MINISTERIO DA EDUCACAO";"26258";"UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA";"153177";"UTFPR - CAMPUS PATO BRANCO";"PATO BRANCO";"01/01/1900";"";"1498,00"
"000012013";"19840000061201255";"Objeto: Pregão Eletrônico -  Contratação de Empresa Especializada para a Prestação de Serviços Continuados de Manutenção Predial no Edifício Sede da DERAT e suas Unidades jurisdicionadas.";"Pregão";"Evento de Suspensão Publicado";"25000";"MINISTERIO DA FAZENDA";"25000";"MINISTERIO DA FAZENDA - UNIDADES COM VÍNCULO ";"170312";"DELEGACIA ESPEC.RFB DE ADMIN. TRIBUTÁRIA/SP";"SAO PAULO";"04/01/2013";"22/05/2013";"3130000,00"
"000042013";"10380000017201316";"Objeto: Recarga dos extintores, com o recolhimento e a devolução no Edifício Sede da SAMF/CE, Superintendência de Administração do Ministério da Fazenda no Ceará, a  Rua Barão de Aracati, 909 - Meireles Fortaleza/ Ceará";"Dispensa de Licitação";"Encerrado";"25000";"MINISTERIO DA FAZENDA";"25000";"MINISTERIO DA FAZENDA - UNIDADES COM VÍNCULO ";"170038";"SUPERINTENDêNCIA DE ADMINISTRAçãO DO MF/CE";"FORTALEZA";"01/01/1900";"";"1795,00"
"000032013";"002/2013";"Objeto: Serviços de Áudio, Vídeo e Foto.";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52904";"FUNDO DO EXERCITO";"167251";"BATALHAO ESCOLA DE COMUNICACOES";"RIO DE JANEIRO";"01/01/1900";"";"5000,00"
"000052013";"19615000002201321";"Objeto: Locação de Interfaces celulares com 08 linhas para SRRF04.";"Dispensa de Licitação";"Encerrado";"25000";"MINISTERIO DA FAZENDA";"25000";"MINISTERIO DA FAZENDA - UNIDADES COM VÍNCULO ";"170058";"SUPERINTENDENCIA REGIONAL DA RFB NA 4A RF";"RECIFE";"01/01/1900";"";"2574,00"
"000012013";"PADM 002/JAN/2013";"Objeto: Aquisição de Cabo de fibra multimodo";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160076";"DEPARTAMENTO DE CIENCIA E TECNOLOGIA";"BRASILIA";"01/01/1900";"";"450,00"
"000032013";"64852000532201321";"Objeto: Serviço mensal de comunicação de dados por meio de uma rede IP multiserviços que permita acesso a computadores mundiais (internet).";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160399";"HOSPITAL MILITAR DE AREA DE PORTO ALEGRE";"PORTO ALEGRE";"01/01/1900";"";"4500,00"
"000342012";"01204000317201264";"Objeto: Pregão Eletrônico -  Nitrogênio liquido, Nitrogênio seco e Dioxido de carbono, utilização no Observatório do Pico dos Dias.";"Pregão - Registro de Preço";"Publicado";"24000";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES";"24000";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES";"240128";"LABORATORIO NACIONAL DE ASTROFISICA";"ITAJUBA";"24/01/2013";"05/02/2013";"900,00"
"000012013";"64598002926201291";"Objeto: Serviço de telefonia fixa comutado (local)";"Inexigibilidade de Licitação";"Publicado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160545";"HOSPITAL DE GUARN. DE S. GABRIEL DA CACHOEIRA";"SAO GABRIEL DA CACHOEIRA";"31/01/2013";"";"30000,00"
"000082013";"23069012487201226";"Objeto: Contratação da FEC para apoio e gerenciamento relativas ao Projeto de Apoio a Pesquisa e Desenvolvimento de Engenharia Civil.";"Dispensa de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26236";"UNIVERSIDADE FEDERAL FLUMINENSE";"150123";"COORD. DE PROJ. C/A FUND. DE APOIO";"NITEROI";"24/01/2013";"";"84000,00"
"000082013";"23007000861201356";"Objeto: Contratação de costureira para realizar reforma das becas que serão utilizadas pela mesa diretora dos Atos Institucionais de Colação de Grau da Universidade Federal do Recôncavo da Bahia, periódo 2012.1";"Dispensa de Licitação";"Encerrado";"26000";"MINISTERIO DA EDUCACAO";"26351";"UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA";"158092";"UNIVERSIDADE FEDERAL DO RECONCAVO DA BAHIA";"CRUZ DAS ALMAS";"01/01/1900";"";"263,00"
"000032013";"102582/2012";"Objeto: Pregão Eletrônico -  Produtos alimentícios";"Pregão - Registro de Preço";"Publicado";"38000";"MINISTERIO DO TRABALHO E EMPREGO";"38000";"MINISTERIO DO TRABALHO E EMPREGO - UNIDADES C";"389343";"CONSELHO REGIONAL DE ENFERMAGEM DE SAO PAULO";"SAO PAULO";"10/01/2013";"23/01/2013";"1920,00"
"000012013";"23292000917201213";"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica - exclusivo me/epp - para execução des erviços de instalações elétricas para atender as necessidades do campus joinville do Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina.";"Pregão";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26438";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA";"158516";"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CATARINA";"FLORIANOPOLIS";"18/01/2013";"06/02/2013";"0,00"
"000022013";"23328000003201389";"Objeto: Fornecimento de energia elétrica, tensão nominal 220v.";"Inexigibilidade de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26404";"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO";"151889";"IF BAIANO CAMPUS BOM JESUS DA LAPA";"BOM JESUS DA LAPA";"16/01/2013";"";"60000,00"
"002562012";"PE.DAQ.G.256.2012";"Objeto: Pregão Eletrônico -  Cortina Metálica (malha) e Cabos de Aço para a Usina Hidrelétrica de Itumbiara.";"Pregão";"Publicado";"32000";"MINISTERIO DE MINAS E ENERGIA";"91081";"EMPRESAS DE ENERGIA";"910811";"FURNAS CENTRAIS ELETRICAS S/A";"RIO DE JANEIRO";"23/01/2013";"05/02/2013";"600985,46"
"000012013";"135030.003/2013";"Objeto: Fornecimento de energia eletrica";"Dispensa de Licitação";"Publicado";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22202";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"135030";"EMBRAPA/CNPSA";"CONCORDIA";"14/01/2013";"";"620000,00"
"000012013";"23466002155201331";"Objeto: Assinatura anual do jornal Tribuna do Norte, com entrega no IFRN - Câmpus Cidade Alta, de terça a domingo.";"Inexigibilidade de Licitação";"Encerrado";"26000";"MINISTERIO DA EDUCACAO";"26435";"INST.FED.DE EDUC.,CIENC.E TEC.DO RN";"152711";"INST. FED. DO RN / CAMPUS NATAL - CIDADE ALTA";"NATAL";"01/01/1900";"";"360,00"
"000032013";"08285009340201219";"Informação protegida por sigilo nos termos da legislação vigente";"Inexigibilidade de Licitação";"Publicado";"30000";"MINISTERIO DA JUSTICA E SEGURANçA PUBLICA";"30108";"DEPARTAMENTO DE POLICIA FEDERAL";"200352";"SUPERINTENDENCIA REGIONAL NO ESTADO DO ES";"VILA VELHA";"21/01/2013";"";"3000,00"
"000042013";"23152000010201331";"Objeto: Despesas com taxas de limpeza pública e licensas para obras civis.";"Inexigibilidade de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26406";"INST.FED.DE EDUC.,CIENC.E TEC.DO ESP.SANTO";"158421";"INST.FED. ESPIRITO SANTO/CAMPUS CARIACICA";"CARIACICA";"31/01/2013";"";"1000,00"
"000212013";"01207000022201349";"Objeto: Manutenção em Elevador";"Dispensa de Licitação";"Encerrado";"24000";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES";"24000";"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES";"240127";"CENTRO DE TECNOLOGIA MINERAL";"RIO DE JANEIRO";"01/01/1900";"";"5031,00"
"000152013";"250057/2222/2012";"Objeto: Pregão Eletrônico -  Registro de preços objetivando eventual aquisição de material hospitalar (frascos para cultivo, placas para cultivo, placas de petri e outros).";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"36000";"MINISTERIO DA SAUDE";"36000";"MINISTERIO DA SAUDE - UNIDADES COM VÍNCULO DI";"250057";"INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA";"RIO DE JANEIRO";"08/01/2013";"21/01/2013";"0,00"
"040032013";"23101004003201221";"Objeto: Serviço de Publicação no Diário oficial.";"Inexigibilidade de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26251";"FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS";"154419";"FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS";"PALMAS";"05/02/2013";"";"680000,00"
"000022013";"21012001857201220";"Objeto: Pregão Eletrônico -  Aquisição de serviços continuados de recepcionista e cooperagem em proveito da SFA/Bahia";"Pregão";"Evento de Alteração Publicado";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ";"130029";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/BA";"SALVADOR";"17/01/2013";"28/02/2013";"98448,98"
"000072012";"47674000744201215";"Objeto: Pregão Eletrônico -  Aquisição de combustiveis para a SRTE/ES, Gerencia e Agencias.";"Pregão";"Publicado";"38000";"MINISTERIO DO TRABALHO E EMPREGO";"38000";"MINISTERIO DO TRABALHO E EMPREGO - UNIDADES C";"380036";"SUPERINT REG DO TRAB E EMPREGO/ES";"VITORIA";"03/01/2013";"28/01/2013";"83085,60"
"000142013";"23403000031201356";"Objeto: Despesas com energia eletrica";"Dispensa de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26432";"INSTITUTO FEDERAL DO PARANA";"158009";"INSTITUTO FEDERAL DO PARANA";"CURITIBA";"30/01/2013";"";"108000,00"
"000172013";"23112000034201365";"Objeto: Serviço de locação de imóvel residencial destinado à moradia de alunos sócio-economicamente carentes do centro de ciência agrária da ufscar em Araras SP, sendo valor mensal do aluguel R$ 1200,00 x 12, valor do IPTU R$ 382,77 e valor do seguro R$ 120,14";"Dispensa de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26280";"FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS";"154049";"FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS";"SAO CARLOS";"06/02/2013";"";"14902,91"
"000122013";"13830720238201357";"Objeto: Contratação da empresa Takeo Yada - ME, CNPJ 52.055.910/0001-75, para que confeccione carimbos, durante todo o ano de 2013, para esta Delegacia da Receita Federal do Brasil em Marília - SP.";"Dispensa de Licitação";"Encerrado";"25000";"MINISTERIO DA FAZENDA";"25000";"MINISTERIO DA FAZENDA - UNIDADES COM VÍNCULO ";"170287";"DELEGACIA DA RFB EM MARILIA";"MARILIA";"01/01/1900";"";"4725,00"
"000022013";"21200002622201228";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na execução de serviços de infraestrutura de redes de fibra ótica abrangendo o fornecimento de materiais, instalação e certificação de infraestrutura, para atendimento de interligação de equipamentos de dados no edificio sede da Conab em Brasília-DF, de acordo com as condições constantes no Termo de Referência e seus respectivos Encartes.";"Pregão";"Publicado";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22211";"COMPANHIA NACIONAL DE ABASTECIMENTO";"135100";"COMPANHIA NACIONAL DE ABASTECIMENTO";"BRASILIA";"22/01/2013";"01/02/2013";"0,00"
"000012013";"54270000014201303";"Objeto: Atender despesas com serviços de fornecimento de agua potavel para uso da Unidade Avançada do INCRA na cidade do Careiro, Estado do Amazonas, no decorrer do exercicio de 2013.";"Inexigibilidade de Licitação";"Publicado";"20000";"PRESIDENCIA DA REPUBLICA";"22201";"INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA";"373025";"SUPERINTEND.ESTADUAL DO AMAZONAS-INCRA/SR-15";"MANAUS";"14/01/2013";"";"1800,00"
"000082013";"008/2013";"Objeto: Pagamento de seguro obrigatório de viaturas administrativas.";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160476";"22.DEPOSITO DE SUPRIMENTO";"BARUERI";"01/01/1900";"";"1249,00"
"000042013";"21174000268201271";"Objeto: PaRA ATENDER COM PAGAMENTOS DE FATURA COM FORNECIMENTO DE ENERGIA ELETRICA PARA A ESTAÇÃO  DE SÃO SIMÃO/SP";"Dispensa de Licitação";"Encerrado";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ";"130068";"DISTRITO DE METEOROLOGIA DE SAO PAULO";"SAO PAULO";"01/01/1900";"";"1000,00"
"000052013";"23332000012201319";"Objeto: Contratação de prestador de serviço de fornecimento de energia elétrica para o Instituto Federal de Educação, Ciência e Tecnologia Baiano - Campus Santa Inês.";"Inexigibilidade de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26404";"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO";"158277";"INST.FED.BAIANO/CAMPUS SANTA INES";"SANTA INES";"01/02/2013";"";"204415,00"
"000022013";"64611001135201229";"Objeto: Pregão Eletrônico -  Material de consumo div. de pesquisa";"Pregão - Registro de Preço";"Evento de Adiamento Publicado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160324";"INSTITUTO DE BIOLOGIA DO EXERCITO";"RIO DE JANEIRO";"16/01/2013";"01/02/2013";"312,00"
"000662012";"230740280721224";"Objeto: Pregão Eletrônico -  Aquisição de GÊNEROS ALIMENTICIOS dos RESTAURANTES UNIVERSITÁRIOS dos CAMPI  I, II, III e IV, da UFPb.";"Pregão - Registro de Preço";"Evento de Revogação Publicado";"26000";"MINISTERIO DA EDUCACAO";"26240";"UNIVERSIDADE FEDERAL DA PARAIBA";"153065";"UNIVERSIDADE FEDERAL DA PARAIBA";"JOAO PESSOA";"31/01/2013";"";"0,00"
"001242012";"25030001090201271";"Objeto: Aquisição de material químico.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"36000";"MINISTERIO DA SAUDE";"36201";"FUNDACAO OSWALDO CRUZ";"254463";"INSTITUTO OSWALDO CRUZ";"RIO DE JANEIRO";"23/01/2013";"01/03/2013";"1149840,00"
"000742013";"23074003255/13-45";"Objeto: Projeção de despesas com serviços de Telefonia fixa durante o exercicio de 2013, referentes aos campi I,II e III da Universidade Federal da Paraíba.";"Dispensa de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26240";"UNIVERSIDADE FEDERAL DA PARAIBA";"153065";"UNIVERSIDADE FEDERAL DA PARAIBA";"JOAO PESSOA";"30/01/2013";"";"510000,00"
"000032013";"PA-003-7ªICFEX";"Objeto: Aquisição de material para manutenção de bens imoveis/instalações";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52904";"FUNDO DO EXERCITO";"167189";"7  INSPETORIA DE CONTABILIDADE E FINANCAS";"RECIFE";"01/01/1900";"";"1105,00"
"100492013";"23106.010049/2013";"Objeto: Publicacao no Diário Oficial do Rio de Janeiro.";"Dispensa de Licitação";"Encerrado";"26000";"MINISTERIO DA EDUCACAO";"26271";"FUNDACAO UNIVERSIDADE DE BRASILIA";"154079";"CENTRO DE SEL.E DE PROMOçãO DE EVENTOS";"BRASILIA";"01/01/1900";"";"271,80"
"000032013";"pdr 06/2013";"Objeto: Taxa de iluminação pública da unidade.";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160156";"44 BATALHAO DE INFANTARIA MOTORIZADO";"CUIABA";"01/01/1900";"";"440,00"
"000052013";"50607000175201399";"Objeto: Contratação de publicações de ações judiciais.DOERJ.";"Inexigibilidade de Licitação";"Publicado";"39000";"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL";"39252";"DEPTO. NAC. DE INFRA-ESTRUTURA DE TRANSPORTES";"393019";"SUPERINTENDENCIA REG. NO ESTADO RJ - DNIT";"RIO DE JANEIRO";"04/02/2013";"";"10000,00"
"000012013";"64307.007292/2012";"Objeto: Contratação de empresa especializada na prestação de serviço de 21 (vinte e uma) linhas de telefonia móvel, com o fornecimento de 21 aparelhos de telefonia móvel, em regime de comodato, obedecendo à regulamentação da ANATEL e demais condições a serem pactuadas em Termo de Contrato, com o fulcro de atender as necessidades do Comando da 1ª Brigada de Infantaria de Selva e Unidades Administrativamente Vinculadas.";"Dispensa de Licitação";"Publicado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160482";"COMANDO/1A BRIGADA DE INFANTARIA DE SELVA";"BOA VISTA";"09/01/2013";"";"18910,80"
"000472013";"50600001609201338";"Objeto: Pregão Eletrônico -  Seleção de empresa com vistas a execução de serviços referentes ao Programa CREMA 1ª Etapa nas Rodovias BR-349/BA, (Item 1)Trecho: Div. SE/BA (Tobias Barreto)   Div. BA/GO / Subtrecho: Entr. BA-160(B) (Bom Jesus da Lapa)   Entr. BA-172 (Santa Maria da Vitória) / Segmento: km 765,80 ao km 854,51 / Extensão: 88,71 km / BR-030/BA, (Item 2) Trecho: Entr BR-135(A) (Div MG/BA) - Campinho / Subtrecho: Entr BR-122(A) (Guanambí) - Entr BA-026(A)/262 (p/Brumado - Acesso II) / Segmento 01: km 2";"Pregão";"Evento de Resultado de Julgame";"39000";"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL";"39252";"DEPTO. NAC. DE INFRA-ESTRUTURA DE TRANSPORTES";"393003";"DEPART.NAC.INFRA ESTRUTURA TRANSPORTES.";"BRASILIA";"31/01/2013";"13/03/2013";"27741154,00"
"000012013";"00186000606201266";"Objeto: Cãmera Webcam com microfone embutido.";"Dispensa de Licitação";"Encerrado";"20000";"PRESIDENCIA DA REPUBLICA";"20101";"PRESIDENCIA DA REPUBLICA";"110322";"GABINETE DE SEGURANÇA INSTITUCIONAL/PR";"BRASILIA";"01/01/1900";"04/01/2013";"587,86"
"000342012";"67438003199201219";"Objeto: Pregão Eletrônico -  Registro de preços para eventual aquisição de GRAMPEADORES CIRÚRGICOS.";"Pregão - Registro de Preço";"Evento de Revogação Publicado";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"120066";"HOSPITAL DE FORÇA AÉREA DE SÃO PAULO";"SAO PAULO";"18/01/2013";"";"0,00"
"000052013";"23083000927201214";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços terceirizados para apoio administrativo";"Pregão";"Evento de Revogação Publicado";"26000";"MINISTERIO DA EDUCACAO";"26249";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"153166";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"SEROPEDICA";"14/01/2013";"";"0,00"
"000012013";"35448000623201250";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para executar os serviços de instalação, substituição, remanejamento, assistência técnica e manutenção em caráter preventivo e corretivo  com fornecimento de mão de obra, peças e materiais   em  aparelhos tipo  split system , centrais tipo  self contained , refrigerados à ar, aparelhos de ar condicionado de janela, instalados em prédios próprios, cedidos ou locados,  de uso do INSS, situados na capital e interior do Estado de Sergipe,  na área de";"Pregão";"Evento de Adiamento Publicado";"55000";"MINISTERIO DO DESENVOLVIMENTO SOCIAL";"37202";"INSTITUTO NACIONAL DO SEGURO SOCIAL";"510080";"GERÊNCIA EXECUTIVA ARACAJU";"ARACAJU";"24/01/2013";"14/02/2013";"266599,87"
"000022013";"02/2013";"Objeto: Aquisição de material elétrico para manutenção corretiva da rede elétrica do Pivo Central I.";"Dispensa de Licitação";"Encerrado";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22202";"EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA";"135036";"EMBRAPA/CNPAF";"SANTO ANTONIO DE GOIAS";"01/01/1900";"";"496,00"
"000012013";"23036006412201276";"Objeto: Prestação de serviço de atualização de Licenças de software e suporte de versões para os softwares do fabricante Oracle do Brasil Sistemas Ltda";"Inexigibilidade de Licitação";"Publicado";"26000";"MINISTERIO DA EDUCACAO";"26290";"INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"153978";"INST.NACIONAL DE EST.E PESQUISAS EDUCACIONAIS";"BRASILIA";"18/01/2013";"";"2877478,88"
"000062013";"21024000164201361";"Objeto: Reforma de telhado,com reparos em parafusos alongados, colocação de cumeeiras parafusadas, substituição de telhas quebradas, troca de tabuas danificadas, realinhamento de telhas e limpeza de telhado.";"Dispensa de Licitação";"Encerrado";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO";"22000";"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO ";"130077";"SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/MT";"VARZEA GRANDE";"01/01/1900";"";"2700,00"
"000022013";"64616003007201351";"Objeto: Atende despesa com aquisição de serviço de telefonia fixa.";"Dispensa de Licitação";"Encerrado";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"160241";"ODONTOCLINICA CENTRAL DO EXéRCITO";"RIO DE JANEIRO";"01/01/1900";"";"200,00"
